fips_code,county,state_name,LSAD
8099,Prowers,Colorado,County
20139,Osage,Kansas,County
37081,Guilford,North Carolina,County
41025,Harney,Oregon,County
51750,Radford,Virginia,City
19105,Jones,Iowa,County
49037,San Juan,Utah,County
21097,Harrison,Kentucky,County
27137,St. Louis,Minnesota,County
33013,Merrimack,New Hampshire,County
4023,Santa Cruz,Arizona,County
16043,Fremont,Idaho,County
17135,Montgomery,Illinois,County
18171,Warren,Indiana,County
22117,Washington,Louisiana,Parish
35035,Otero,New Mexico,County
39135,Preble,Ohio,County
53051,Pend Oreille,Washington,County
1079,Lawrence,Alabama,County
8113,San Miguel,Colorado,County
12057,Hillsborough,Florida,County
16079,Shoshone,Idaho,County
41055,Sherman,Oregon,County
8073,Lincoln,Colorado,County
19193,Woodbury,Iowa,County
29203,Shannon,Missouri,County
31069,Garden,Nebraska,County
47005,Benton,Tennessee,County
1061,Geneva,Alabama,County
2282,Yakutat,Alaska,Cty&Bor
12055,Highlands,Florida,County
18141,St. Joseph,Indiana,County
20025,Clark,Kansas,County
13217,Newton,Georgia,County
32007,Elko,Nevada,County
35006,Cibola,New Mexico,County
51600,Fairfax,Virginia,City
1057,Fayette,Alabama,County
31017,Brown,Nebraska,County
48015,Austin,Texas,County
53003,Asotin,Washington,County
17187,Warren,Illinois,County
33017,Strafford,New Hampshire,County
48049,Brown,Texas,County
72131,San Sebastián,Puerto Rico,Muno
35039,Rio Arriba,New Mexico,County
38003,Barnes,North Dakota,County
18093,Lawrence,Indiana,County
26135,Oscoda,Michigan,County
31033,Cheyenne,Nebraska,County
38025,Dunn,North Dakota,County
46015,Brule,South Dakota,County
54027,Hampshire,West Virginia,County
54083,Randolph,West Virginia,County
36083,Rensselaer,New York,County
46073,Jerauld,South Dakota,County
48181,Grayson,Texas,County
18167,Vigo,Indiana,County
29035,Carter,Missouri,County
37187,Washington,North Carolina,County
47143,Rhea,Tennessee,County
13135,Gwinnett,Georgia,County
13267,Tattnall,Georgia,County
19133,Monona,Iowa,County
22067,Morehouse,Louisiana,Parish
22075,Plaquemines,Louisiana,Parish
26041,Delta,Michigan,County
30055,McCone,Montana,County
34015,Gloucester,New Jersey,County
48331,Milam,Texas,County
12039,Gadsden,Florida,County
18007,Benton,Indiana,County
19055,Delaware,Iowa,County
39007,Ashtabula,Ohio,County
21009,Barren,Kentucky,County
8053,Hinsdale,Colorado,County
6101,Sutter,California,County
13015,Bartow,Georgia,County
28157,Wilkinson,Mississippi,County
37113,Macon,North Carolina,County
17195,Whiteside,Illinois,County
12061,Indian River,Florida,County
17137,Morgan,Illinois,County
27129,Renville,Minnesota,County
31179,Wayne,Nebraska,County
36089,St. Lawrence,New York,County
45027,Clarendon,South Carolina,County
54071,Pendleton,West Virginia,County
16031,Cassia,Idaho,County
20075,Hamilton,Kansas,County
21017,Bourbon,Kentucky,County
23001,Androscoggin,Maine,County
35028,Los Alamos,New Mexico,County
36053,Madison,New York,County
48289,Leon,Texas,County
51678,Lexington,Virginia,City
54001,Barbour,West Virginia,County
16047,Gooding,Idaho,County
32021,Mineral,Nevada,County
40071,Kay,Oklahoma,County
48317,Martin,Texas,County
27131,Rice,Minnesota,County
39149,Shelby,Ohio,County
45079,Richland,South Carolina,County
51071,Giles,Virginia,County
54077,Preston,West Virginia,County
1005,Barbour,Alabama,County
27139,Scott,Minnesota,County
48007,Aransas,Texas,County
72069,Humacao,Puerto Rico,Muno
4001,Apache,Arizona,County
27125,Red Lake,Minnesota,County
31053,Dodge,Nebraska,County
48041,Brazos,Texas,County
48213,Henderson,Texas,County
6083,Santa Barbara,California,County
13065,Clinch,Georgia,County
38089,Stark,North Dakota,County
39097,Madison,Ohio,County
39161,Van Wert,Ohio,County
46059,Hand,South Dakota,County
6005,Amador,California,County
27081,Lincoln,Minnesota,County
42103,Pike,Pennsylvania,County
5049,Fulton,Arkansas,County
18115,Ohio,Indiana,County
72101,Morovis,Puerto Rico,Muno
8027,Custer,Colorado,County
13059,Clarke,Georgia,County
21181,Nicholas,Kentucky,County
28019,Choctaw,Mississippi,County
31027,Cedar,Nebraska,County
34013,Essex,New Jersey,County
9007,Middlesex,Connecticut,County
13031,Bulloch,Georgia,County
21223,Trimble,Kentucky,County
54061,Monongalia,West Virginia,County
1023,Choctaw,Alabama,County
6085,Santa Clara,California,County
12111,St. Lucie,Florida,County
21183,Ohio,Kentucky,County
